Course_ID,Course_Title,Provider,Category,Level,Duration_Hours,Rating,Primary_Competency,Competencies_Covered,Video_Lecture_Link,Course_Overview_URL,Language,CPD_Hours,Description
igot-101,Python for Data Analysis & Statistical Processing,iGOT Karmayogi,Technical,Intermediate,20,4.9,Python for Data Analysis,"Python for Data Analysis; SQL & Database Querying",https://www.youtube.com/watch?v=r-uOLxNrNk8,https://igotkarmayogi.gov.in/app/toc/do_3138920194829107203/overview,English / Hindi,20,"Automating government survey data processing with Pandas, NumPy, Statsmodels, and handling multi-gigabyte survey unit-level text data."
igot-102,Artificial Intelligence & Machine Learning in Official Statistics,iGOT Karmayogi,Technical,Intermediate,24,4.8,Artificial Intelligence & ML,"Artificial Intelligence & ML; Python for Data Analysis",https://www.youtube.com/watch?v=7eh4d6sabA0,https://igotkarmayogi.gov.in/app/toc/do_ai_ml_mospi/overview,English,24,"Supervised and unsupervised ML models, anomaly detection in census records, and automated survey text classification."
igot-103,GIS & Geospatial Analysis with QGIS for Field Surveys,iGOT Karmayogi,Technical,Foundation,16,4.8,GIS & Geospatial Mapping,"GIS & Geospatial Mapping; Data Visualization & Storytelling",https://www.youtube.com/watch?v=Kz_2f9rUv9A,https://igotkarmayogi.gov.in/app/toc/do_gis_qgis/overview,English,16,"Urban Frame Survey (UFS) block digitization, boundary shapefiles, spatial heatmaps, and integrating remote sensing imagery."
igot-104,Data Storytelling & Executive Visual Briefings for Policy Makers,iGOT Karmayogi,Behavioural,Foundation,8,4.9,Data Visualization & Storytelling,"Data Visualization & Storytelling; Public Policy Decision Making",https://www.youtube.com/watch?v=5Zg-C8AAIGg,https://igotkarmayogi.gov.in/app/toc/do_storytelling/overview,English / Hindi,8,"Transforming complex multi-dimensional statistical tables into clear, actionable executive visual summaries for secretaries and ministers."
igot-105,Enterprise Database Management with SQL & Open Data APIs,iGOT Karmayogi,Technical,Foundation,12,4.7,SQL & Database Querying,"SQL & Database Querying; Cloud Infrastructure & APIs",https://www.youtube.com/watch?v=HXV3zeRR3h4,https://igotkarmayogi.gov.in/app/toc/do_sql_db/overview,English,12,"Querying relational databases, indexing census tables, writing stored procedures, and publishing APIs on data.gov.in."
igot-106,Digital Personal Data Protection (DPDP) Act & SDC Safeguards,iGOT Karmayogi,Digital Governance,Foundation,8,4.8,Data Privacy (DPDP Act),"Data Privacy (DPDP Act); Cybersecurity Protocols",https://www.youtube.com/watch?v=0hL5Dov7VpE,https://igotkarmayogi.gov.in/app/toc/do_dpdp_privacy/overview,English / Hindi,8,"Legal compliance under India's DPDP Act 2023, k-anonymity, l-diversity, and statistical disclosure control for public microdata."
igot-107,Cloud Computing & Scalable Microdata Pipelines for Census,iGOT Karmayogi,Technical,Intermediate,16,4.7,Cloud Infrastructure & APIs,"Cloud Infrastructure & APIs; Enterprise IT Systems",https://www.youtube.com/watch?v=2LaAJq1lB1Q,https://igotkarmayogi.gov.in/app/toc/do_cloud_census/overview,English,16,"Deploying secure serverless data pipelines, object storage buckets for decennial census microdata, and API load balancing."
igot-108,Cybersecurity Protocols & Information Assurance for MoSPI Servers,iGOT Karmayogi,Digital Governance,Foundation,10,4.9,Cybersecurity Protocols,"Cybersecurity Protocols; Data Privacy (DPDP Act)",https://www.youtube.com/watch?v=inWWhr5tnEA,https://igotkarmayogi.gov.in/app/toc/do_cybersecurity_govt/overview,English / Hindi,10,"CERT-In compliance guidelines, two-factor authentication enforcement, secure socket layers, and data breach prevention."
igot-109,Public Policy Decision Making & Evidence-Based Governance,iGOT Karmayogi,Behavioural,Intermediate,14,4.8,Public Policy Decision Making,"Public Policy Decision Making; Data Visualization & Storytelling",https://www.youtube.com/watch?v=8Vz_p0qJ6-c,https://igotkarmayogi.gov.in/app/toc/do_policy_governance/overview,English,14,"Synthesizing multi-sectoral survey evidence, calculating benefit-cost ratios, and drafting policy briefs for Union Cabinet approval."
igot-110,Executive Leadership & Strategic Management for Statistical Cadres,iGOT Karmayogi,Behavioural,Advanced,16,4.9,Leadership & Mentorship,"Leadership & Mentorship; Public Policy Decision Making",https://www.youtube.com/watch?v=b2y_qN7a7yU,https://igotkarmayogi.gov.in/app/toc/do_leadership_iss/overview,English,16,"Strategic change management, inter-cadre coordination across central ministries, and mentoring junior statistical officers."
